id;company;location;dates;job;position;summary;pros;cons;advice-to-mgmt;overall-ratings;work-balance-stars;culture-values-stars;carrer-opportunities-stars;comp-benefit-stars;senior-mangemnet-stars;helpful-count
35995;netflix;Los Gatos, CA; Apr 2, 2017;Former  ;Senior Software Engineer;Best company culture I've experienced!;The company culture was extremely empowering - as an employee I really felt like I was listened to and had the freedom to do what I felt was best for the business. Knowing that management wanted employees at every level to understand the long and short term business strategies so that they could themselves make the best decisions for the business was extremely empowering - this kind of transparency is rare in companies. Coworkers were really smart and passionate about what they did. Management was self reflective and introspective. The company was constantly innovating and looking for ways to improve, so you never felt like you were sitting still. Perks and compensation were also the best I've experienced in my career.;Due to rapid growth over the 4 years I was there, perhaps a little bit of the culture was lost or watered down, mostly in terms of feeling like you perhaps knew fewer people as the company grew. No opportunities to work remote - when I moved out of state I would have loved to have continued to work for Netflix (at the same time, I understand why they dont want remote employees).;Keep leading the way and revolutionizing both the entertainment industry as well as corporate culture!;5;5;5;4;5;5;8
35996;netflix;Los Gatos, CA; Apr 24, 2017;Former  ;Anonymous Employee;SRE Manager;Freedom and responsibility, very transparent, well respected, hefty base salary. flexibility with work hours. specific responsibilities.;There is no concept of bonus. medical and health benefits are not there either. You are responsible for your area of tasks and hardly find someone covering for you. you will be an expect and also kind of silo'd;I don't have any specific advice to management other than that Director and above are given way too much freedom to do whatever they want and not considering the senior employees;4;;;;;;0
35997;netflix;; Apr 4, 2017;Former  ;Anonymous Employee;Great place to work, so long as you fit the mold;Great people to work with, great leadership, and constant ability to get your geek on, so long as you fit the mold;Netflix does not invest in training its people, the expectation is for you to already be a star, or to make yourself a star through your own efforts. Like Reed H has been quoted - it is a baseball team. However, if you fit the mold, this is fine.;Keep up the good work;5;3;5;3;5;5;2
35998;netflix;; Apr 9, 2017;Former  ;Anonymous Employee;Accounts Payable Analyst;Good Company. Competitive salary. Overall good;Poor management, Not organized, No balance of work and life.;;3;;;;;;0
35999;netflix;Salt Lake City, UT; Mar 15, 2017;Former  ;Customer Service Representative;Customer Service Representative;Free Netflix Cafe on sight, moderately priced Free coffee and peanut m&m's Good health and dental benefits Very transparent No dress code (using good judgement) You can flex your on the clock breaks Pay is above market;"Attendance policy is strict Little room for advancement Calls from very uneducated and slow people needing help with their Netflix Not much room for shift changing to earlier shifts (only night shifts available) It's ""not scripted"" although there are many things you must do verbatim Calls are very repetitious";;3;3;4;2;4;4;7
36000;netflix;Santa Ana, CA; Mar 26, 2017;Former  ;Accountant;Distribution Clerk;This job is good for student.;If you have early class schedule then dont do it. The job starts at 3:00 AM to 6:46 AM;;3;2;3;5;1;3;0
36001;netflix;Los Gatos, CA; Jul 8, 2016;Current  ;Senior Software Engineer;The best job I've had, and at times, the worst job I've had;Netflix has some great pros. You'll be working with mostly extremely competent people. Dealing with teams within the company is extremely easy, as most people are very helpful and efficient. They pay you a lot of money, and give you perks like free food, paid cell phone bill, 401k, etc. This is all great, but for me, the biggest draw is always people, and your team will make or break your experience here, so make sure you know what you are getting into at the interview, and dont accept jobs with teams that you dont feel excited about being part of.;"The high salary leads some people to ramp up their lifestyles, they then become dependent on being here. This in turn creates a culture of fear where people are constantly stressing out that they are ""not doing enough"" and might be fired any minute. This also extends to the directors of teams, and when your management is stressed, it will always trickle down to create a lousy experience for you. This makes for an extremely toxic environment at times where teams are often working on similar projects, thus competing against each other to stay relevant, which is just utter idiocy. The high pay ensures that there is way more politicking than would be needed or appropriate in such situations. This in turn can have a very demoralizing effect on the peons doing the actual work, who often feel compelled to work on nights, weekends and public holidays for goals that are often vague, and projects that are often shelved. The most insidious effect of this is observed when people contemplate taking PTO, when many employees have told me that they weren't able to relax or take as much time off as they needed, as they were constantly wondering what would happen to their jobs, and whether or not they were doing enough to ""deserve"" time off. If you've never felt this, it's a rotten state of mind, and you will feel it quite a bit here. Many times, I've felt the need to quit the field altogether, but the money and my team makes me stay for now, so I'll likely stay till my team changes.  Moral of the story here is: You'll get paid a lot. You'll also likely be laid off sooner than you expect. You'll also likely make a LOT less at your next place. Adjust for your standard of living appropriately so you can keep your head above the circus fray, and dont get used to the good things.";More communication with your teams is absolutely essential if you want to retain good people, but you don't need a Glassdoor review to tell you that. Empower your HR teams to instill the idea that taking time off is a healthy part of working here, and no one should feel nervous about taking time off. You will need to say this many times before it becomes part of the culture.  Ensure that teams are not competing against each other, specifically in the Engineering department. We are not here to throw each other off our respective ladders, but to learn, and to help the company grow as a result of what we learn here. Cross-collaboration between teams should be of the utmost priority, not working at cross-purposes as is the case with many teams now.  For the most part, this is a good place to be. Make it better, and make more of an effort at every level to keep the organization flat. We already have job insecurity, we do not need hierarchy to make it worse.;3;2;3;5;5;3;130
36002;netflix;; Feb 19, 2017;Current  ;Anonymous Employee;Senior Software Engineer;;"Culture: - high turnover - many people are staying only for the top of the market paycheck - employees adjust lifestyle to high compensation. As a result constant fear of being let go - colleagues will throw you under the bus to keep their jobs - very political due to lack of company policies/processes - any mistakes you make will be used against you (see point #3) - 0 empathy, mentorship or compassion - no clear career path - your experience will largely depend on your manager - if you want ""psychological safety"" go to Google or Facebook instead  Technology: - overall very poor code quality - most bigger architecture solutions are suboptimal due to ""freedom and responsibility"" and lack of overall technical vision - related to architecture: most technical decisions are completely localized, again due to ""freedom and responsibility"". As a result, high level of technical debt and meaningless duplication (NIH syndrome at scale) - dated technology stack (the most popular tech stack is tomcat/war)";;2;4;1;1;5;3;26
36003;netflix;Salt Lake City, UT; Feb 11, 2017;Current  ;CSR-1;Cool culture, but they still have some kinks to work out;Great Benefits, subsidized lunches, free fruit and coffee, lots of PTO, free Netflix acct, community involvement, company culture, internal growth;Only 3 tardies/early leave per year before separation, no tuition reimbursement, very strict about what can be at your desk, no holidays off, headsets provided are awful;Keep moving the site in the right direction, and start interviewing for CSR2's soon!;4;5;5;3;5;4;2
36004;netflix;; Feb 16, 2017;Current  ;Anonymous Employee;Customer Service Rep;Other than the benefits, the environment you work in is very relaxed, while still maintaining professional boundaries. Management is easy to work with, feedback is more constructive than criticizing;Lack of upward growth/opportunity, you'll definitely get the unreasonable customers;;4;5;5;2;5;5;0
36005;netflix;; Feb 14, 2017;Former  ;Anonymous Employee;Contract.;Netflix is a great company to work for.;Cons would be that it unfortunately was a contract position!;;5;5;5;5;5;5;0
36006;netflix;Salt Lake City, UT; Mar 12, 2017;Current  ;Customer Service Representative;As call centers go, it's pretty awful;No pros, everything that made me like the job was a blatant lie. Has health insurance so that's something.;The work is monotonous and draining. The chat team was dissolved, and then they shifted my hours to meet 'business needs' which took away the last bit of faith I had that they care about the employee. Supposedly you can choose from set shifts, but the time you pick is randomly assigned, meaning if you're randomly assigned to pick last, then there are no good options left. Could also mean that you work there for 2.5 years like my coworker and never get to have a weekend day off. In training they told us over and over again that top performers were promoted within 3 to 6 months but there have literally been no opportunities. They said numbers didn't matter, they promised unlimited time off, and a whole host of other perks. That has all been blatantly false, the entire job is a numbers game, you sit glued to your desk waiting for a coaching or meeting to break up the nightmare of the day but those keep getting pushed off to the future, which never happens. Unlimited time off was taken away, and you could be fired for a whole host of silly reasons, I myself have seen multiple coworkers walked off the floor for minor infractions, and the new policy of only 3 tardies (which could be 1 minute late) per YEAR is punitive. Even the free drinks are slowly being taken away, we have stupid lemon water options now or espresso, which I can't drink. This job has given me anxiety, I am actively looking for a different job and will quit the moment I'm able.;Don't lie to your employees, hire enough people so that you're not glued to the phone with back to back calls all day, promote an option of breaking up the work day instead of sitting stuck in the cubicle. You can't even take personal time for crying out loud, you get in trouble for needing to take a 2 minute bathroom break outside your schedued break time. Ive never had a job that so horrendously micromanages time to be sure you're getting every last second of work from the employee. Actually be truthful about advancement opportunities. I was told CRS2 would be avaliable August of 2016, that got pushed to January of 2017, then March of 2017, and now maybe 6 months into the future. That's ridiculous, and it has created a dead end job culture that there feels like no escaping from.;1;1;1;1;3;1;7
36007;netflix;; Feb 7, 2017;Current  ;Anonymous Employee;Great company culture;Very strong culture, smart colleagues, great product.;Rapidly growing - can be difficult to keep up;;5;;;;;;0
36008;netflix;Los Gatos, CA; Jan 31, 2017;Former  ;Data Engineering Manager;Great company;Great culture, great company, nice technology stack;Can not think of any cons;Keep at it.;4;4;5;4;5;5;0
36009;netflix;Salt Lake City, UT; Feb 21, 2017;Former  ;Operations Supervisor;Just blown away, I am Michael Jordan and you chose Sam Bowie. Never will have another like me. Run !;Pay and my peers. I loved my direct reports and they performed at a very high level. Low good attrition because they loved coming in every day. CSR'S are the most important part of any call center, I still get messages from past employees that are miserable there. Working hard for them, priceless and so rewarding. Still get messages from my first leadership job, wireless co. that rhythms with horizon wanting me back.. see the trend!;Approved FMLA was frowned upon, illegal but NetflixCS NOT NETFLIX (totaly separate companies) didn't care. They chose Utah because it's a right to hire/right to fire state. Worst location and facility, cheap equipmment and desks. Lesser companys that thought location may be important are all along UTA trax or frontrunner railways. Om never observed a coaching in final 7 months and was let go not for performance but for adjusting, not changing coaching logs. Coaching was wrote same but what Csr had to do was same and crystal clear. Wife has degree in English Communication and proof read my work. A+ É??É??É?? writing. 0;I opened the center, top 2 in 0overall stats 2015 & 2016 and my team loved me. Was not a yes man, was and always will be honest man. Was overpaid, told them first thing. Was told I changed coaching without rep in coaching with me, not actually changed just rewrote same thing but l with help of English grammar pro. I was never Netflix leadership trained and this0 was in leadership training to change coaching without csr present. How would i know without training? 0BPO'S have better structure and the first Supervisor hired begged me to not tell you be lied on resume, no leadership experience. Michigan fan, liar and still there along with many yes man. I was Verizon Trained in leadership, A++ and award winning training on all aspects of management. Still have emails of praise from Senior ops from Netflix Om's and led a 22 person team 3 months and it was 2nd overall in stats. It was because I cast the large shadow of a leader who could move mountains with my coaching, feedback and motivation. I came to you before FMLA, you approved my leave but let me go. Unheard of in any business. Ask my time off was approved and I was protected federally in my time off. It is the job of the company to get support to team while I was out. I still never had that leadership training to teach me not to Change coaching log (said same thing in log of what csr needed to do) without the csr present. CSR didn't even notice change, it was grammar and verbiage update of the same coaching recommendation. Remember giving me lower bowl Jazz tickets 2x for performance? Performance still high when using Federal Medical Leave Act insurance and still let go. Reading all the reviews left here are a clear direction of poor structure, internal training and bottom to top processes that produce consistency and values. Changing values, policy's monthly create chaos. Convergys has higher employee satisfaction and where I work now is best in state company to work for 2 years in row - Thumbtack! I make less but who cares, integrity means something. Try it sometime.. and still think you committed federal crime by letting someone go with approved FMLA.;1;3;1;1;5;2;8
36010;netflix;; Jan 12, 2017;Current  ;Anonymous Employee;The culture drives this company;The culture! Lots of transparency, lots of realtime feedback, and lots of swag.;The culture...it can even work against you. The entitlement of the employees can get tiresome.;;4;3;5;1;5;2;3
36011;netflix;; Jan 26, 2017;Current  ;Anonymous Employee;senior software engineer;good to work and smart people around;more team work and culture should be improved;put more focus on teams;2;3;2;4;4;3;1
36012;netflix;Los Gatos, CA; Dec 8, 2016;Former  ;Anonymous Employee;Fool's Gold;* Great pay * Smart coworkers * Good product * Business casual dress code;"* With no ladders or levels your performance is 100% based on your direct manager's perception of you. * Every person interprets, and practices, the culture deck differently which means you could have a very different experience based on the team you are hired into. * Lots of gossip - people try to pass it off as ""gathering feedback."" Conversations are never truly over or resolved. * Recruiting/HR weighs heavily on hiring decisions (the culture piece), however, they have the worst turnover out of any of the teams at Netflix (maybe not so great at assessing culture fit). * Recruiters will tell you, ""We have the same turnover as any company our size in the Bay Area it's just that our approach is different."" However, no one in recruiting can give a specific number as it relates to ""normal"" attrition. * No referral bonus * Not enough diversity * Quick to fire people and make them think it was their decision.";"* Don't just promote people into management roles because of tenure. * If a team has high turnover, it's time to do something about the management of that team. * The ""Keeper"" test should not just be actively used on IC's but all levels of management as well.";2;3;2;2;4;1;27
36013;netflix;Salt Lake City, UT; Dec 18, 2016;Former  ;Customer Service Representative;Worst Supervisor Ever!!;Free snacks, good benefits, nice coworkers;Everything depends on your Supervisor, if you get the wrong one they will be condescending, demean you, micromanage you and fire you for no logical reason. No explanation, no exit interview, nothing in writing. I had the most unprofessional Supervisor I have ever met.;Please research why a person was fired. Don't trust your call center Management. They will fire reps for nothing. This could cause possible lawsuits in the future.;2;1;1;1;4;1;16
36014;netflix;Los Gatos, CA; Dec 6, 2016;Current  ;Senior Software Engineer;Senior Software Engineer;"Great development culture, tons of opportunity, big problems, lots of independence - the motto ""freedom and responsibility"" is not just a platitude.";Make sure you agree with the Netflix Culture Deck - if you dont you won't be successful.;;5;5;5;5;5;5;5
36015;netflix;; Dec 21, 2016;Former  ;Anonymous Employee;Experience based on Supervisor;Get to work on a lot off different aspects, transparency, work with smart people, Reed Hastings;People pick and choose from cultural deck, varies from team to team, supervisor felt entitled based on tenure, not a good leader, complete opposite of the traits from the deck;Recognize weak management early, review tenured employees as well;3;2;2;3;4;2;7
36016;netflix;; Jan 11, 2017;Former  ;Anonymous Employee;Experience totally based on supervisor. They have too much power;Good work, good pay. Energetic environment. New technologies.;"Experience in Netflix totally depends on the supervisor. If you are lucky and get a matured manager, there is no reason to not like working in NETFLIX. However it could be a nightmare if your manager does not like you for some reason. It is always your words vs manager's word in there (happened in my case and they believe the manager). I was hired under a manager who convinced me to join Netflix (I had 24 emails from that person persuading me). However I learned after joining that I am supposed to report to a new manager and the very first day that new guy complained that I have never worked with JAVA and AWS (Then why did he agree to take me in his team in the first place ? ). Nightmare started from that very day. He kept on mentioning the same thing every one on one. He forced me to move my position in every meeting and make sure I seat where he points me to. He will talk to all my co-workers and inform them if he is cancelling one on ones, for me he wont do anything and just disappear. He will constantly irritate me saying how good he was when he joined. He will always shout at me and try to ignore my opinions on any damn technical stuff. I was totally terrified of him and knew that he will make sure that I fail. He tried all he could. He gave me two projects and one project scope kept changing and changing. Still i tried to keep up and developed good relationships with other team managers, members and project managers.One day (I am sure my manager was waiting for that day) I wrote something incorrect in an email (this is my 4th month I guess). He pounded on me, and also after a 14 hour continuous on call, I took a 2 min break, he shouted at me for 15 minutes for missing a false alram ! I apologized. He tried to blame me for what I did not do and said he and someone else was watching me silently, while I was chatting with someone else about some technical issue over a group chat. So unethical ! He said some PM complained about me and when I asked for the names and examples he refused. I raised the alarm to higher management and they said it is ""his word vs mine"". One day they said they are sorry I had to go through this and next day they change the tone and said they have to believe my manager. I requested them to talk to engineers and get feedback. They refused to even do that. I resigned the next week as I could not take the humiliation and realized that if I stay back and work in the same group, they will find some excuse to fire me. I knew all companies where I worked before were waiting to take me back any day. So I had no worry. The funny part is the people who were working with me kept on sending me emails about how good it was to work with me and they were surprised that I left. But my manager never found anything good in me.  I wish I had a better manager in NETFLIX, then I would enjoy my life there so much. Please make sure you understand your supervisor before you join. That is the most important thing. Everything else will fall into place.";Give engineers some more respect and try to understand who is at fault. Look at that persons history before you conclude in 4 months or 5th months just based on one person, the manager who was not happy with the hire from very very first day.;1;3;1;5;5;1;13
36017;netflix;; Jan 11, 2017;Former  ;Anonymous Employee;Worst Place for work;Pay, benefits, equipment, some co-workers;Everything else. Manager is a racist and the assist manager is a hispanic the discriminates hispanics, if you are a hispanic you are doomed. If you are white and the nephew of one of the supervisors the manager going to promote you to driver 3 even when there was only two routes and 2 Drivers 3 already in those routes.;Fire those racist managers;1;2;1;1;5;1;2
36018;netflix;; Nov 15, 2016;Former  ;Anonymous Employee;NA;An offer you cant resist;You will literally quit a decent job to come here thinking you have found something great only to find that you have stepped in front of an immature high school firing squad. There is no obectivity to the termination process so any of them could terminate for unethical reasons that are summed up in the phrase, you are not a high performer or you weren't a right fit. There constantly breathing down your neck and watching you looking for you to do something wrong. THeres little warning. Generally you get one. If your lucky or buddy buddy with with management or the supes you might get a bit more slack, maybe a lot more. If they dont like what they see they could be rid of you in less than a month and they openly joke about terminating people and about how expendable you are from day one. I read the reviews on here and went in and smellled the fish immediately. FIrst off they bring on a ton of people all the time for an amazing job so where do they end up. All of this is contingent on whether they decide if you are fit for production. You could be let go at the end of training and they dont give you any metrics on how that decision is made.;Remember that you are giving skilled people an amazing offer that leads many to leave stable employment. By making impossibly high expectations with no metrics applied to the termination process the vast majority wont hit the mark and office politics will govern the termination process. Luring people into a firing pit hurts them and there families and puts a dent in there career. Remember that. Your hurting people.;2;2;1;3;5;1;28
36019;netflix;Denver, CO; Jan 8, 2017;Former  ;Anonymous Employee;Operations Asst. Manager;Good pay for the work;Awful place to work, they work you 12 hours a day with terrible hours then let you go after 9 years with no cause.;;1;1;1;2;4;1;3
36020;netflix;Los Gatos, CA; Dec 1, 2016;Current  ;Senior Data Engineer;Rockstar coworkers, freedom and responsibility;Rockstar coworkers, no brilliant jerks excellent pay, no vacation policy or tracking fast paced environment, minimal distractions and no unnecessary process - get loads of work done everyday. I can tell my friends I work in showbiz :); that I can think of, really. I guess the culture might take a bit adjusting to if you are not used to it.;;5;5;5;5;5;5;1
36021;netflix;Los Gatos, CA; Dec 2, 2016;Current  ;Senior Software Engineer In Test;good company;High-performing culture Unlimited vacation Pick your time to work Great pay;High performing culture If you get a manager that micro-manages it becomes annoying Too date driven while sacrificing quality - for a QA professional that's hard to take;;3;4;3;2;4;2;7
36022;netflix;Salt Lake City, UT; Dec 6, 2016;Current  ;CSR-1;False Advertising;Free coffee and snacks. Benefits. High percentage of PTO accrual, which is being cut in half soon. One flexible day off that is impossible to take if you have the beginning of the week off.;Is definitely numbers driven, even though they tell you it isn't. Manipulative management. Will use your peers against you. Told to ask questions if you dont understand something, but dont answer your questions and rarely give good context. Coachings that are supposed to happen every week get pushed off for a few weeks to a month. No one is on the same page. Your job is on the line after the one day you are sick. There is definitely an attendance policy, regardless of what you hear.;Be up-front with your staff. Follow through on commitments. Be available. Follow your own behaviour standards.;2;1;1;1;3;3;9
36023;netflix;Salt Lake City, UT; Oct 26, 2016;Current  ;Training and Development Manager;Culture of High Performance;What makes this location great is that the culture of high performance really helps you to grow, excel, learn and develop at a high level. While it can feel demanding at times, this actually has helped me to grow, offering many opportunities for growth that apply to any type of job I may want in the future.;As stated above, the job is high performance. Which means that the jobs here may not be the right fit for everyone. But for the right person, it's a great place.;;5;;;;;;6
36024;netflix;; Nov 14, 2016;Current  ;Anonymous Employee;Freedom & Responsibility;The best company I've ever worked at. Read the culture deck - every word of it is true and actively practiced.;. Workload can be a bit intense at times but that's to be expected.;As we expand internationally, make sure that we maintain our culture and values;5;5;5;5;5;5;0
36025;netflix;Beverly Hills, CA; Oct 28, 2016;Current  ;Content Distribution Coordinator;LOVE IT;The company culture makes every day a superior work experience. I have stellar colleagues and interesting challenges every day. I look forward to coming to work every day.;High performance is expected at all times which is not challenging by itself, but it can wear you down if you dont handle stress well.;;5;4;5;5;5;4;5
36026;netflix;Los Gatos, CA; Oct 19, 2016;Former  ;Anonymous Employee;Company is maturing;Benefits and perks are amazing.. office food&snacks, unlimited vacation, one year maternity leave, amazing leadership by Reed.;No mentorship, no at the job training. Hard to get promotion because they will simply go out and hire someone instead of internally developing people;;4;4;5;1;5;5;6
36027;netflix;; Nov 16, 2016;Former  ;CSR-1;Too much;Pay was great, flexible schedule to meet your needs, scheduling extra hours, attendance bonuses, great benefits including 401k match and vacation.;Dealing with non tech savvy customers, contradicting management styles, the location, no room to grow.;;3;3;3;1;5;3;0
36028;netflix;Los Angeles, CA; Nov 4, 2016;Current  ;Senior Web UI Engineer;website;share knowledge with smart people from the world.;Sometimes exhausting long works at company;;3;1;4;3;2;3;3
36029;netflix;Los Gatos, CA; Sep 24, 2016;Current  ;Senior Software Engineer;Honestly couldn't imagine working somewhere else;Extremely competent colleagues. Fast-paced. Incredibly transparent. The culture is amazing. Benefits are amazing. Everyone here wants to do a good job. Management is being serious about diversity and it shows in their hiring.  We're given incredibly autonomy to execute how we see best. I've never even heard of a company that gives individual contributors such autonomy!  I bet if we decided to build a spacecraft, we could pivot and have an MVP in orbit by the end of 2017.  It's also pretty neat to work for a movie studio, basically. Certainly much different than most companies in the Valley.;It's a little far down in the South Bay (Los Gatos), but there's a shuttle from SF.  Deadlines can be intense and you really have to be an advocate for your time. If you're not an assertive person (or can't learn to be) then you will probably be overworked here.;Make sure to stick to your guns, as far as the culture deck is concerned.;5;5;5;5;5;5;9
36030;netflix;; Oct 21, 2016;Former  ;Anonymous Employee;Great Company Culture;"Great people and great culture. Check out the Netflix Culture Deck at www.slideshare.net/reed2001/culture-1798664. They practice what they preach with ""Context, not control"", ""Freedom and responsibility"", and hiring fast/firing fast.";"For folks looking for a ""safe"" company with which to work, Netflix is not your place (nor does it want to be). Benefits are great (including a lucrative stock purchase plan), but like pro-athletes, you can't think of Netflix as a cradle-to-grave company.";Keep taking risks and keep hiring the best!;5;3;5;5;5;4;0
36031;netflix;Tampa, FL; Nov 21, 2016;Current  ;CSR-1;Unless you are hyperactive do not apply;You can be yourself. It's not complicated to help the customers. The job itself is very easy if you are competent.;While they do not technically discriminate against you because of your age, if you are not either on a constant caffeine induced hyperactive episode or just naturally one of those people who are hyper all day everyday. You will be utterly miserable here. The performance standards require so much speed you have to be in a constant frenzy to meet them.;obviously this is a company that doesn't want to retain its employees long enough for the health insurance benefits or vacation bonuses to become available. If you're not in management by the time you've been there 2 years you are burned out and have quit the job.;1;1;3;2;4;1;3
36032;netflix;; Oct 7, 2016;Former  ;Anonymous Employee;Senior Software Engineer;Superior technology, talented people, awesome perks;Frequent organizational changes, no company-wide standards or practices, ad-hoc project planning;;4;5;5;3;5;3;3
36033;netflix;Salt Lake City, UT; Oct 13, 2016;Current  ;Customer Service Supervisor;Supervisor;The job pays well, some peers are brilliant, talented, and fantastic to work with. There is quite a bit of autonomy and the freedom to develop your teams as you see fit.;NetflixCS is young and the leadership team is not open to new ideas. Management quickly shifts its priorities and it does not seem there is a clear direction for where the company is heading.;Stop killing the passion of your employees by shutting them down and find ways engage that passion into a specific direction aligned with the priorities of the company. Have a direction and coach and develop your talent.;3;4;2;1;5;1;7
36034;netflix;Los Angeles, CA; Sep 29, 2016;Current  ;Anonymous Employee;Great, but not for everyone;lots of freedom and responsibilities - no managers breathing down your neck, culture that creates opportunities for you to do innovative work,;there ain't no 40 hours weeks;;4;3;5;3;5;5;4
36035;netflix;; Oct 6, 2016;Current  ;Anonymous Employee;good company - great benefits;The pay is great compared to other companies in the valley, the benefits are awesome and they have 401k match.;Nobody is on the same page.;Get your management styles aligned, you'll receive information from one person that clashes with another.;4;4;4;4;4;3;1
36036;netflix;; Oct 3, 2016;Former  ;Agent;Good short term job;Can be a fun environment free m&m's and idea of the culture they want to create is nice.;Like previously stated the culture is just an idea. They push on being transparent but they themselves do not follow that. Any time off is a joke. There is not time available to be approved for PTO you get left with the option on calling it in, in turn get punished. Management can be very unprofessional with how they speak to their employees. Culture and values are very clear and are open to what is expected as far as actually following it themselves not so much.;More training as management should be expected to have more knowledge than agents.;3;3;1;1;4;2;5
36037;netflix;Los Gatos, CA; Jul 26, 2016;Current  ;Anonymous Employee;A culture of high performance can be daunting for some, but worth it.;"High performance environment - you're given a huge amount of responsibility and ownership to drive your work. You're able to see the direct impact you're making to the company, as a result.  The company is incredibly transparent -- everyone in the company, no matter the ""level,"" could tell you our business direction.  Stunning colleagues. High bar for hiring, so you're working amongst smart, driven, and passionate folks.";High-performance environment -- expectations are high and you run full-speed, most of the time. Not the right kind of environment for everyone.;;5;4;5;5;5;4;16
36038;netflix;Salt Lake City, UT; Aug 27, 2016;Current  ;Customer Service Supervisor;Great company. Super high performers and smart people.;Pay is great. You work with highly motivated, driven people that are all trying to be their best. In my experience all peers are very willing to share best practices and help you be better as well. Benefits are great and work life balance is a real thing. Positivity is part of the culture which is infections. If you've ever worked for a company where you see a peer not doing much and not being held accountable for driving success those type of people will not make it which in my book is great. Accountability happens here. Freedom to be you and manage with your own sense of style as long as you are managing within their values.;Periodically you come across super competitive peers that may be stand offish for fear of sharing or getting to close to you because they want a position that you want. That competition is fierce when applying for new roles but it doesn't describe the majority of the workforce. Due to constantly challenging yourself and expectations to continue to be high performers you can leave mentally exhausted on a daily basis.;;4;5;5;4;5;5;8
36039;netflix;Los Gatos, CA; Aug 31, 2016;Former  ;Senior Software Engineer;Great people and culture;- High density of smart, talented people - High pay - Transparent approach to policy;;;5;5;5;4;5;5;4
36040;netflix;; Oct 16, 2016;Current  ;Anonymous Employee;No more love for NF;Free Starbucks and snacks. Free Netflix;"Everyone starts at the same hourly pay even if you have experience. The management says they are big on feedback but they will use it against you. Netflix manages on a ""do as I say not as I do"" philosophy. Managers are the only ones allowed cell phones and pens, employees are not. Training doesn't prepare you for the actual job. I was a Netflix customer from day one which is why I wanted to work for them and after being an employee I wouldn't recommend them as a employer or as a customer. Will leave as soon as another job is secured.";Pre screen employees better so you can treat the employees like adults rather than toddlers who can't be trusted. Stop hiring TSR's based on seniority but on skill.;1;4;1;1;1;1;3
36041;netflix;; Sep 13, 2016;Former  ;Anonymous Employee;Needs a lot of improvement;Great benefits, great dental, awesome Co workers and theyve put a good bit of money on making the cafeteria and building nice.;Well, where to start.... Management all have different expectatiins and different styles. You can be the star of one team, switch teams, and be given warnings. No one Is in the same page. Their attendance policy is not followed well by management Or Hr. I was told I could take a day off by Hr after a certain date with no issue. So a few days after the date I was given I took the day off that I desperately needed and was fired next day. No prior warnings or attendance issues. Hr gave me the OK and then are the ones that fired me. I think that days a lot about how well this place rubs.;Be clear and Honest with your expectations. Sure, we live in a right to work state but you'll quickly become another convergys the way you handle situations and treat employees. Also, get everyone on the same page. Aht, dsat and verbiage should be have a pretty universal expectation between all sups. But that simply is not the case.;2;1;3;2;4;1;8
36042;netflix;Los Gatos, CA; Sep 10, 2016;Current  ;Anonymous Employee;Engineer;Meals provided and snacks, which is awesome since we are constantly working. Flexible.;Culture deck is whack. Freedom of responsibility is whack. A lot of favoritism is practiced and communication amongst team does not exist. Management does not communicate on changes only to secure job security. Always have to watch your back, two faced monsters;Need to listen to all employees, not just management.;3;1;1;1;5;1;5
36043;netflix;Salt Lake City, UT; Oct 5, 2016;Former  ;CSR-1;Would have been excellent with a different supervisor.;It's incredibly easy work. Good pay, requires a fair amount of patience and people skills. Free m&m's and a drink dispensers, cool cafeteria for a call center.;"In my time of working for NetflixCS, I was stressed mentally and physically, they use losing your job against you in every single humanly mishap that could happen, emergency with the kids? Not excusable or ability to have excusal by reasonable cause, they literally tell you after the first time that your job will be on the line if you are so much as 5 minutes late again. Get something a little mixed up on the knowledge base? You're on thin ice. I feel as if I started feeling this way once they had moved me to a new team. This ""supervisor"" was bossy, not a leader. Raised her voice and talked to few on the team like children. They were smart and switched teams after a few occurrences of her demonstrating her work ethic. I decided, I can change my schedule soon I dont want to make a fuss, so I stayed next thing I know I'm one of the leaders on the team we had a coaching and all she did for the first time ever was acknowledge my hard work, I was proud. After all the fear of f'ing up and losing my job I realized I could relax. A week later I was fired because I had to miss 1 day because my 2 year old daughter had strep, mind you this, my sup was constantly late or leaving early for non emergency type situations, was constantly on her phone on the call floor, for non work related types of things such as looking through social media and online shopping, there is an example of blatant favoritism. I knew people who missed much more time than I had, and had never even been spoken too, or threatened. I would take this to hr but as my sup said when terming me, the decision is final and I will not longer be working at Netflix customer service.";You really need to review how your employees feel with their supervisors. If you want the ACE you have to be fair and flexible with your employees concerns. You lost a very good, and determined employee because of poor placement and no flexibility with attendance, considering there was never PTO available or sick days. Even others employees at the site did not understand why I was fired. That's something to think about. I know I'm not the only one from this specific team that feels the same way.;1;1;2;1;2;3;6
